"File name","WAVE0001.CSV","V 1.11"
"Title comment",""
"Trigger Time","23-04-15 13:07:39"
"Ch","Mode","Range","Comment","Scaling","Ratio","Offset"
"CH-1","Voltage","100mV","","On"," 1.33150E+04"," 0.00000E+00"
"CH-2","Voltage","100mV","","On"," 1.39080E+04"," 0.00000E+00"
"CH-3","Tc","2000 C","","Off","-","-"
"CH-4","Tc","2000 C","","Off","-","-"
"CH-5","Tc","2000 C","","Off","-","-"
"CH-6","Tc","2000 C","","Off","-","-"
"CH-7","Tc","2000 C","","Off","-","-"
"CH-8","Tc","2000 C","","Off","-","-"
"CH-9","Voltage","100mV","","On"," 2.10080E+04"," 0.00000E+00"
"CH-10","Voltage","100mV","","On"," 2.05760E+04"," 0.00000E+00"
"Time","CH-1[W/m^2]","CH-2[W/m^2]","CH-3[C]","CH-4[C]","CH-5[C]","CH-6[C]","CH-7[C]","CH-8[C]","CH-9[W/m^2]","CH-10[W/m^2]","Event",
 0.000000000E+00,-1.96396E+01, 2.42695E+01, 2.40000E+01, 2.60000E+01, 8.40000E+00, 1.70000E+01, 1.70000E+01, 1.13000E+01, 9.35906E+02, 4.93618E+02,0,
 6.000000000E+01,-2.31681E+01, 1.76632E+01, 2.44000E+01, 2.58000E+01, 8.00000E+00, 1.70000E+01, 1.70000E+01, 1.13000E+01, 1.17477E+03, 6.50202E+02,0,
 1.200000000E+02,-2.37007E+01, 2.21137E+01, 2.57000E+01, 2.55000E+01, 8.50000E+00, 1.70000E+01, 1.70000E+01, 1.14000E+01, 1.16920E+03, 6.17383E+02,0,
 1.800000000E+02,-2.62305E+01, 1.76632E+01, 2.68000E+01, 2.69000E+01, 8.20000E+00, 1.70000E+01, 1.71000E+01, 1.14000E+01, 1.28453E+03, 7.06786E+02,0,
 2.400000000E+02,-2.66300E+01, 1.86367E+01, 2.76000E+01, 2.66000E+01, 8.40000E+00, 1.71000E+01, 1.71000E+01, 1.14000E+01, 1.24105E+03, 6.86107E+02,0,
 3.000000000E+02,-2.64968E+01, 1.13350E+01, 2.78000E+01, 2.64000E+01, 8.90000E+00, 1.70000E+01, 1.71000E+01, 1.14000E+01, 1.24914E+03, 6.71498E+02,0,
 3.600000000E+02,-2.52985E+01, 1.98189E+01, 2.76000E+01, 2.63000E+01, 9.30000E+00, 1.71000E+01, 1.71000E+01, 1.14000E+01, 1.28506E+03, 6.98555E+02,0,
 4.200000000E+02,-2.28352E+01, 2.12097E+01, 2.75000E+01, 2.69000E+01, 8.80000E+00, 1.71000E+01, 1.72000E+01, 1.15000E+01, 1.20544E+03, 6.58020E+02,0,
 4.800000000E+02,-1.83081E+01, 1.23781E+01, 2.72000E+01, 2.62000E+01, 9.00000E+00, 1.71000E+01, 1.72000E+01, 1.14000E+01, 1.19063E+03, 6.45058E+02,0,
 5.400000000E+02,-1.55785E+01, 1.87758E+01, 2.63000E+01, 2.54000E+01, 8.90000E+00, 1.71000E+01, 1.72000E+01, 1.15000E+01, 9.06390E+02, 4.85594E+02,0,
 6.000000000E+02,-1.90404E+01, 9.24882E+00, 2.59000E+01, 2.52000E+01, 8.80000E+00, 1.70000E+01, 1.72000E+01, 1.15000E+01, 1.17067E+03, 6.35078E+02,0,
 6.600000000E+02,-2.10377E+01, 1.41862E+01, 2.66000E+01, 2.53000E+01, 8.10000E+00, 1.69000E+01, 1.72000E+01, 1.14000E+01, 1.09977E+03, 6.13371E+02,0,
 7.200000000E+02,-1.79087E+01, 1.51597E+01, 2.66000E+01, 2.53000E+01, 8.40000E+00, 1.69000E+01, 1.72000E+01, 1.15000E+01, 1.03370E+03, 5.61108E+02,0,
 7.800000000E+02,-1.87076E+01, 1.89149E+01, 2.59000E+01, 2.57000E+01, 8.90000E+00, 1.69000E+01, 1.73000E+01, 1.15000E+01, 1.11994E+03, 6.06272E+02,0,
 8.400000000E+02,-1.94399E+01, 1.59247E+01, 2.54000E+01, 2.55000E+01, 8.60000E+00, 1.68000E+01, 1.72000E+01, 1.15000E+01, 1.04441E+03, 5.75408E+02,0,
 9.000000000E+02,-1.77089E+01, 1.89844E+01, 2.46000E+01, 2.55000E+01, 8.70000E+00, 1.68000E+01, 1.72000E+01, 1.15000E+01, 1.04042E+03, 5.70881E+02,0,
 9.600000000E+02,-1.67103E+01, 1.91930E+01, 2.45000E+01, 2.48000E+01, 8.60000E+00, 1.68000E+01, 1.72000E+01, 1.15000E+01, 1.03664E+03, 5.71704E+02,0,
 1.020000000E+03,-1.73095E+01, 2.54516E+01, 2.48000E+01, 2.53000E+01, 8.60000E+00, 1.68000E+01, 1.73000E+01, 1.16000E+01, 1.00145E+03, 5.46807E+02,0,
 1.080000000E+03,-1.94399E+01, 1.83586E+01, 2.49000E+01, 2.51000E+01, 8.50000E+00, 1.68000E+01, 1.73000E+01, 1.15000E+01, 1.03780E+03, 5.75099E+02,0,
 1.140000000E+03,-1.89739E+01, 2.46867E+01, 2.52000E+01, 2.50000E+01, 8.60000E+00, 1.68000E+01, 1.73000E+01, 1.15000E+01, 1.02582E+03, 5.65634E+02,0,
 1.200000000E+03,-1.79087E+01, 2.83723E+01, 2.53000E+01, 2.47000E+01, 8.60000E+00, 1.67000E+01, 1.72000E+01, 1.14000E+01, 8.85907E+02, 5.12857E+02,0,
 1.260000000E+03,-2.09045E+01, 2.18356E+01, 2.54000E+01, 2.52000E+01, 7.90000E+00, 1.67000E+01, 1.72000E+01, 1.15000E+01, 1.11742E+03, 6.20572E+02,0,
 1.320000000E+03,-2.37007E+01, 2.19051E+01, 2.57000E+01, 2.55000E+01, 8.10000E+00, 1.68000E+01, 1.73000E+01, 1.15000E+01, 1.11742E+03, 6.22424E+02,0,
 1.380000000E+03,-2.42999E+01, 3.49091E+01, 2.59000E+01, 2.58000E+01, 8.10000E+00, 1.68000E+01, 1.73000E+01, 1.15000E+01, 1.10124E+03, 6.04214E+02,0,
 1.440000000E+03,-2.38338E+01, 2.81637E+01, 2.55000E+01, 2.58000E+01, 9.00000E+00, 1.69000E+01, 1.73000E+01, 1.14000E+01, 1.04998E+03, 5.81272E+02,0,
 1.500000000E+03,-2.22360E+01, 3.19189E+01, 2.57000E+01, 2.61000E+01, 8.60000E+00, 1.70000E+01, 1.73000E+01, 1.15000E+01, 9.30339E+02, 5.10696E+02,0,
 1.560000000E+03,-2.56314E+01, 2.98327E+01, 2.55000E+01, 2.62000E+01, 8.80000E+00, 1.70000E+01, 1.74000E+01, 1.15000E+01, 1.13506E+03, 6.19749E+02,0,
 1.620000000E+03,-2.11043E+01, 1.84976E+01, 2.52000E+01, 2.60000E+01, 8.70000E+00, 1.70000E+01, 1.73000E+01, 1.14000E+01, 9.05760E+02, 4.97733E+02,0,
 1.680000000E+03,-2.07048E+01, 2.09315E+01, 2.51000E+01, 2.55000E+01, 8.70000E+00, 1.72000E+01, 1.74000E+01, 1.15000E+01, 7.90426E+02, 4.30141E+02,0,
 1.740000000E+03,-2.07048E+01, 1.46034E+01, 2.48000E+01, 2.55000E+01, 9.30000E+00, 1.71000E+01, 1.74000E+01, 1.15000E+01, 7.45154E+02, 4.01335E+02,0,
 1.800000000E+03,-1.99059E+01, 1.60637E+01, 2.46000E+01, 2.51000E+01, 8.20000E+00, 1.72000E+01, 1.74000E+01, 1.15000E+01, 8.45677E+02, 4.25512E+02,0,
 1.860000000E+03,-1.96396E+01, 1.63419E+01, 2.45000E+01, 2.52000E+01, 8.50000E+00, 1.73000E+01, 1.75000E+01, 1.16000E+01, 7.56813E+02, 4.02158E+02,0,
 1.920000000E+03,-1.98393E+01, 1.54379E+01, 2.44000E+01, 2.54000E+01, 9.20000E+00, 1.73000E+01, 1.74000E+01, 1.15000E+01, 8.09123E+02, 4.08434E+02,0,
 1.980000000E+03,-2.33678E+01, 1.84976E+01, 2.46000E+01, 2.54000E+01, 9.10000E+00, 1.73000E+01, 1.75000E+01, 1.16000E+01, 9.62271E+02, 5.02260E+02,0,
 2.040000000E+03,-2.23026E+01, 1.62724E+01, 2.49000E+01, 2.57000E+01, 8.40000E+00, 1.74000E+01, 1.75000E+01, 1.16000E+01, 8.67630E+02, 4.57713E+02,0,
 2.100000000E+03,-2.09045E+01, 1.82195E+01, 2.49000E+01, 2.56000E+01, 7.50000E+00, 1.73000E+01, 1.75000E+01, 1.16000E+01, 8.39375E+02, 4.37034E+02,0,
 2.160000000E+03,-1.93067E+01, 1.78718E+01, 2.45000E+01, 2.59000E+01, 7.50000E+00, 1.74000E+01, 1.75000E+01, 1.16000E+01, 7.26667E+02, 3.77672E+02,0,
