"File name","WAVE0001.CSV","V 1.11"
"Title comment",""
"Trigger Time","23-04-30 18:08:16"
"Ch","Mode","Range","Comment","Scaling","Ratio","Offset"
"CH-1","Voltage","100mV","","On"," 1.33150E+04"," 0.00000E+00"
"CH-2","Voltage","100mV","","On"," 1.39080E+04"," 0.00000E+00"
"CH-3","Tc","2000 C","","Off","-","-"
"CH-4","Tc","2000 C","","Off","-","-"
"CH-5","Tc","2000 C","","Off","-","-"
"CH-6","Tc","2000 C","","Off","-","-"
"CH-7","Tc","2000 C","","Off","-","-"
"CH-8","Tc","2000 C","","Off","-","-"
"CH-9","Voltage","100mV","","On"," 2.10080E+04"," 0.00000E+00"
"CH-10","Voltage","100mV","","On"," 2.05760E+04"," 0.00000E+00"
"Time","CH-1[W/m^2]","CH-2[W/m^2]","CH-3[C]","CH-4[C]","CH-5[C]","CH-6[C]","CH-7[C]","CH-8[C]","CH-9[W/m^2]","CH-10[W/m^2]","Event",
 0.000000000E+00, 3.79477E+00, 2.12097E+01, 3.27670E+03, 2.03000E+01, 1.75000E+01, 1.80000E+01, 1.86000E+01, 1.35000E+01, 1.00628E+02, 5.18515E+01,0,
 6.000000000E+01, 5.32600E+00, 1.39080E+01, 3.27670E+03, 2.04000E+01, 1.77000E+01, 1.81000E+01, 1.87000E+01, 1.35000E+01, 9.75822E+01, 5.02054E+01,0,
 1.200000000E+02, 6.32462E+00, 2.48953E+01, 3.27670E+03, 2.03000E+01, 1.77000E+01, 1.80000E+01, 1.87000E+01, 1.36000E+01, 9.52713E+01, 4.90738E+01,0,
 1.800000000E+02, 5.79202E+00, 2.02361E+01, 3.27670E+03, 2.03000E+01, 1.77000E+01, 1.80000E+01, 1.87000E+01, 1.36000E+01, 9.38007E+01, 4.85594E+01,0,
 2.400000000E+02, 5.12627E+00, 2.32959E+01, 3.27670E+03, 2.02000E+01, 1.78000E+01, 1.79000E+01, 1.86000E+01, 1.35000E+01, 9.33806E+01, 4.83536E+01,0,
 3.000000000E+02, 5.79202E+00, 1.74545E+01, 3.27670E+03, 2.02000E+01, 1.76000E+01, 1.79000E+01, 1.86000E+01, 1.35000E+01, 9.35906E+01, 4.85594E+01,0,
 3.600000000E+02, 4.19422E+00, 2.34350E+01, 3.27670E+03, 2.02000E+01, 1.74000E+01, 1.79000E+01, 1.86000E+01, 1.35000E+01, 9.43259E+01, 4.90738E+01,0,
 4.200000000E+02, 4.19422E+00, 2.80246E+01, 3.27670E+03, 2.01000E+01, 1.71000E+01, 1.77000E+01, 1.79000E+01, 1.24000E+01, 9.53763E+01, 4.95882E+01,0,
 4.800000000E+02, 4.99312E+00, 1.84976E+01, 3.27670E+03, 2.01000E+01, 1.69000E+01, 1.74000E+01, 1.73000E+01, 1.16000E+01, 9.68469E+01, 5.01026E+01,0,
 5.400000000E+02, 4.72682E+00, 2.41304E+01, 3.27670E+03, 2.02000E+01, 1.70000E+01, 1.73000E+01, 1.71000E+01, 1.12000E+01, 9.80023E+01, 5.06170E+01,0,
 6.000000000E+02, 3.86135E+00, 1.69678E+01, 3.27670E+03, 2.03000E+01, 1.72000E+01, 1.74000E+01, 1.74000E+01, 1.17000E+01, 9.90527E+01, 5.11314E+01,0,
 6.600000000E+02, 3.72820E+00, 1.52293E+01, 3.27670E+03, 2.02000E+01, 1.70000E+01, 1.75000E+01, 1.76000E+01, 1.21000E+01, 9.96830E+01, 5.14400E+01,0,
 7.200000000E+02, 3.46190E+00, 2.34350E+01, 3.27670E+03, 2.02000E+01, 1.70000E+01, 1.76000E+01, 1.78000E+01, 1.24000E+01, 9.97880E+01, 5.15429E+01,0,
 7.800000000E+02, 3.19560E+00, 1.89149E+01, 3.27670E+03, 2.01000E+01, 1.69000E+01, 1.76000E+01, 1.79000E+01, 1.25000E+01, 9.92628E+01, 5.13371E+01,0,
 8.400000000E+02, 2.72957E+00, 2.19051E+01, 3.27670E+03, 2.01000E+01, 1.69000E+01, 1.77000E+01, 1.80000E+01, 1.27000E+01, 9.83174E+01, 5.09256E+01,0,
 9.000000000E+02, 3.72820E+00, 2.16269E+01, 3.27670E+03, 2.00000E+01, 1.70000E+01, 1.76000E+01, 1.79000E+01, 1.26000E+01, 9.71620E+01, 5.03083E+01,0,
 9.600000000E+02, 3.26217E+00, 2.50344E+01, 3.27670E+03, 2.00000E+01, 1.68000E+01, 1.76000E+01, 1.78000E+01, 1.25000E+01, 9.55864E+01, 4.95882E+01,0,
 1.020000000E+03, 3.12902E+00, 1.67591E+01, 3.27670E+03, 2.01000E+01, 1.69000E+01, 1.77000E+01, 1.80000E+01, 1.26000E+01, 9.42209E+01, 4.88680E+01,0,
 1.080000000E+03, 3.06245E+00, 2.52430E+01, 3.27670E+03, 2.01000E+01, 1.69000E+01, 1.77000E+01, 1.80000E+01, 1.27000E+01, 9.28554E+01, 4.81478E+01,0,
 1.140000000E+03, 1.93067E+00, 2.15574E+01, 3.27670E+03, 2.01000E+01, 1.66000E+01, 1.76000E+01, 1.79000E+01, 1.27000E+01, 9.14898E+01, 4.74277E+01,0,
