MeasureTime,HeatFlow
11/9/2022 6:00,-1617.68
11/9/2022 6:01,-1685.14
11/9/2022 6:02,-1583.54
11/9/2022 6:03,-1617.68
11/9/2022 6:04,-1617.68
11/9/2022 6:05,-1617.68
11/9/2022 6:06,-1583.54
11/9/2022 6:07,-1583.54
11/9/2022 6:08,-1617.68
11/9/2022 6:09,-1617.68
11/9/2022 6:10,-1583.54
11/9/2022 6:11,-1617.68
11/9/2022 6:12,-1617.68
11/9/2022 6:13,-1617.68
11/9/2022 6:14,-1651.85
11/9/2022 6:15,-1617.68
11/9/2022 6:16,-1583.54
11/9/2022 6:17,-1618.53
11/9/2022 6:18,-1651.85
11/9/2022 6:19,-1617.68
11/9/2022 6:20,-1616.84
11/9/2022 6:21,-1616.84
11/9/2022 6:22,-1582.72
11/9/2022 6:23,-1582.72
11/9/2022 6:24,-1616.84
11/9/2022 6:25,-1650.12
11/9/2022 6:26,-1582.72
11/9/2022 6:27,-1616.84
11/9/2022 6:28,-1616.84
11/9/2022 6:29,-1616.84
11/9/2022 6:30,-1650.98
11/9/2022 6:31,-1616.84
11/9/2022 6:32,-1549.42
11/9/2022 6:33,-1582.72
11/9/2022 6:34,-1582.72
11/9/2022 6:35,-1616.84
11/9/2022 6:36,-1650.98
11/9/2022 6:37,-1616.84
11/9/2022 6:38,-1616.84
11/9/2022 6:39,-1650.98
11/9/2022 6:40,-1548.62
11/9/2022 6:41,-1616
11/9/2022 6:42,-1581.91
11/9/2022 6:43,-1616
11/9/2022 6:44,-1650.12
11/9/2022 6:45,-1616
11/9/2022 6:46,-1616
11/9/2022 6:47,-1581.91
11/9/2022 6:48,-1616
11/9/2022 6:49,-1616
11/9/2022 6:50,-1616
11/9/2022 6:51,-1616
11/9/2022 6:52,-1616
11/9/2022 6:53,-1581.91
11/9/2022 6:54,-1581.91
11/9/2022 6:55,-1582.72
11/9/2022 6:56,-1548.62
11/9/2022 6:57,-1616.84
11/9/2022 6:58,-1583.54
11/9/2022 6:59,-1549.42
11/9/2022 7:00,-1549.42
11/9/2022 7:01,-1547.83
11/9/2022 7:02,-1581.91
11/9/2022 7:03,-1547.83
11/9/2022 7:04,-1615.17
11/9/2022 7:05,-1581.91
11/9/2022 7:06,-1581.91
11/9/2022 7:07,-1581.91
11/9/2022 7:08,-1616
11/9/2022 7:09,-1581.91
11/9/2022 7:10,-1547.83
11/9/2022 7:11,-1616
11/9/2022 7:12,-1650.12
11/9/2022 7:13,-1616
11/9/2022 7:14,-1581.91
11/9/2022 7:15,-1581.91
11/9/2022 7:16,-1547.83
11/9/2022 7:17,-1615.17
11/9/2022 7:18,-1615.17
11/9/2022 7:19,-1616
11/9/2022 7:20,-1547.83
11/9/2022 7:21,-1616
11/9/2022 7:22,-1581.1
11/9/2022 7:23,-1513.77
11/9/2022 7:24,-1581.1
11/9/2022 7:25,-1615.17
11/9/2022 7:26,-1581.1
11/9/2022 7:27,-1581.1
11/9/2022 7:28,-1547.04
11/9/2022 7:29,-1581.1
11/9/2022 7:30,-1581.1
11/9/2022 7:31,-1615.17
11/9/2022 7:32,-1547.04
11/9/2022 7:33,-1547.83
11/9/2022 7:34,-1581.1
11/9/2022 7:35,-1547.04
11/9/2022 7:36,-1615.17
11/9/2022 7:37,-1581.1
11/9/2022 7:38,-1547.83
11/9/2022 7:39,-1547.83
11/9/2022 7:40,-1547.83
11/9/2022 7:41,-1547.83
11/9/2022 7:42,-1547.83
11/9/2022 7:43,-1615.17
11/9/2022 7:44,-1615.17
11/9/2022 7:45,-1614.35
11/9/2022 7:46,-1580.29
11/9/2022 7:47,-1547.04
11/9/2022 7:48,-1547.04
11/9/2022 7:49,-1547.04
11/9/2022 7:50,-1547.04
11/9/2022 7:51,-1513.77
11/9/2022 7:52,-1581.91
11/9/2022 7:53,-1548.62
11/9/2022 7:54,-1547.83
11/9/2022 7:55,-1581.91
11/9/2022 7:56,-1547.83
11/9/2022 7:57,-1547.83
11/9/2022 7:58,-1513.77
11/9/2022 7:59,-1547.83
11/9/2022 8:00,-1547.83
11/9/2022 8:01,-1547.83
11/9/2022 8:02,-1547.83
11/9/2022 8:03,-1513.77
11/9/2022 8:04,-1547.83
11/9/2022 8:05,-1547.83
11/9/2022 8:06,-1581.91
11/9/2022 8:07,-1547.83
11/9/2022 8:08,-1514.54
11/9/2022 8:09,-1514.54
11/9/2022 8:10,-1547.83
11/9/2022 8:11,-1547.83
11/9/2022 8:12,-1514.54
11/9/2022 8:13,-1480.49
11/9/2022 8:14,-1447.19
11/9/2022 8:15,-1447.94
11/9/2022 8:16,-1380.55
11/9/2022 8:17,-1381.27
11/9/2022 8:18,-1279.82
11/9/2022 8:19,-1280.48
11/9/2022 8:20,-1247.1
11/9/2022 8:21,-1213.69
11/9/2022 8:22,-1214.34
11/9/2022 8:23,-1181.53
11/9/2022 8:24,-1148.07
11/9/2022 8:25,-1114.59
11/9/2022 8:26,-1115.19
11/9/2022 8:27,-1081.68
11/9/2022 8:28,-1014.05
11/9/2022 8:29,-946.95
11/9/2022 8:30,-947.47
11/9/2022 8:31,-981.59
11/9/2022 8:32,-880.26
11/9/2022 8:33,-880.76
11/9/2022 8:34,-847.11
11/9/2022 8:35,-779.33
11/9/2022 8:36,-746.92
11/9/2022 8:37,-679.4
11/9/2022 8:38,-611.81
11/9/2022 8:39,-544.14
11/9/2022 8:40,-476.68
11/9/2022 8:41,-409.07
11/9/2022 8:42,-272.88
11/9/2022 8:43,-170.81
11/9/2022 8:44,-68.39
11/9/2022 8:45,34.23
11/9/2022 8:46,102.81
11/9/2022 8:47,102.94
11/9/2022 8:48,206.09
11/9/2022 8:49,309.44
11/9/2022 8:50,413
11/9/2022 8:51,447.87
11/9/2022 8:52,551.8
11/9/2022 8:53,587.31
11/9/2022 8:54,656.87
11/9/2022 8:55,726.54
11/9/2022 8:56,727.05
11/9/2022 8:57,796.88
11/9/2022 8:58,833.04
11/9/2022 8:59,868.07
11/9/2022 9:00,833.65
11/9/2022 9:01,903.8
11/9/2022 9:02,938.92
11/9/2022 9:03,1010
11/9/2022 9:04,1045.24
11/9/2022 9:05,1115.8
11/9/2022 9:06,1151.12
11/9/2022 9:07,1187.38
11/9/2022 9:08,1293.72
11/9/2022 9:09,1364.76
11/9/2022 9:10,1365.83
11/9/2022 9:11,1330.26
11/9/2022 9:12,1330.26
11/9/2022 9:13,1401.43
11/9/2022 9:14,1402.54
11/9/2022 9:15,1224.7
11/9/2022 9:16,1082.98
11/9/2022 9:17,1190.15
11/9/2022 9:18,1403.66
11/9/2022 9:19,1368
11/9/2022 9:20,1013.87
11/9/2022 9:21,731.86
11/9/2022 9:22,1049.25
11/9/2022 9:23,1405.93
11/9/2022 9:24,1513.32
11/9/2022 9:25,1549.18
11/9/2022 9:26,1264.22
11/9/2022 9:27,1086.37
11/9/2022 9:28,980.04
11/9/2022 9:29,1121.88
11/9/2022 9:30,1264.22
11/9/2022 9:31,1372.43
11/9/2022 9:32,1265.24
11/9/2022 9:33,910.01
11/9/2022 9:34,804.67
11/9/2022 9:35,1053.41
11/9/2022 9:36,1230.57
11/9/2022 9:37,1195.88
11/9/2022 9:38,1410.56
11/9/2022 9:39,1374.7
11/9/2022 9:40,1447.67
11/9/2022 9:41,1627.85
11/9/2022 9:42,1881.61
11/9/2022 9:43,2029.24
11/9/2022 9:44,1919.7
11/9/2022 9:45,1378.16
11/9/2022 9:46,1020.35
11/9/2022 9:47,1198.84
11/9/2022 9:48,1487.44
11/9/2022 9:49,1630.66
11/9/2022 9:50,1706.12
11/9/2022 9:51,1996.27
11/9/2022 9:52,1886.61
11/9/2022 9:53,1669.79
